epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.5844,1.71217,4.15265,1.82123,0.00302,1,0.44696,0.27368,1.40807,3.89573,1.57119,0.00016,0.00016,0.00016
2,82.9858,1.47781,2.5981,1.42155,0.00302,1,0.84564,0.50169,1.43398,3.65666,1.36846,0.000336634,0.000336634,0.000336634
3,122.413,1.45608,2.31152,1.31812,0.00302,1,0.69347,0.29043,1.58669,3.94606,1.61171,0.000509704,0.000509704,0.000509704
4,183.379,1.44805,1.9903,1.2866,0.00302,1,0.55426,0.34546,1.46258,3.8557,1.57736,0.00067921,0.00067921,0.00067921
5,223.436,1.38299,2.00424,1.32397,0.63643,0.42287,0.48072,0.23438,1.65071,3.85235,1.91978,0.000845152,0.000845152,0.000845152
6,284.538,1.58396,2.09007,1.42795,0.53655,0.34483,0.37929,0.20682,1.87502,4.08168,2.3023,0.00100753,0.00100753,0.00100753
7,348.283,1.53016,2.14103,1.3928,0.47188,0.18556,0.21355,0.09791,2.09109,4.32334,2.58277,0.00116634,0.00116634,0.00116634
8,386.692,1.45329,1.93063,1.37472,0.70183,0.40619,0.49606,0.21541,1.86051,3.70864,2.11678,0.00132159,0.00132159,0.00132159
9,434.428,1.47422,1.73492,1.37422,0.65238,0.51724,0.55956,0.2772,1.96979,3.65808,1.98213,0.00147328,0.00147328,0.00147328
10,474.859,1.43438,1.74908,1.3106,0.62988,0.46985,0.48122,0.18547,1.99969,3.37482,1.9861,0.0016214,0.0016214,0.0016214
11,536.089,1.45012,1.73994,1.3348,0.71013,0.55172,0.56248,0.24952,1.97023,2.85362,1.97992,0.00176596,0.00176596,0.00176596
12,607.993,1.51824,1.66347,1.36213,0.66691,0.41428,0.52761,0.2567,1.82232,2.89565,1.70593,0.0017822,0.0017822,0.0017822
13,664.322,1.56605,1.60382,1.4129,0.65501,0.3933,0.46545,0.20444,2.00201,2.85166,1.83633,0.0017624,0.0017624,0.0017624
14,721.325,1.51887,1.49383,1.34261,0.53358,0.51296,0.52147,0.24711,1.91869,2.48079,1.85403,0.0017426,0.0017426,0.0017426
15,791.807,1.46424,1.52079,1.39725,0.71007,0.72414,0.72937,0.38532,1.71577,2.11192,1.64276,0.0017228,0.0017228,0.0017228
16,848.849,1.51613,1.50196,1.40289,0.87335,0.58621,0.77807,0.4195,1.60914,1.99532,1.59668,0.001703,0.001703,0.001703
17,920.784,1.4438,1.43648,1.39271,0.66085,0.6722,0.65739,0.39282,1.76969,2.1041,1.74007,0.0016832,0.0016832,0.0016832
18,1000.89,1.4711,1.38567,1.36072,0.78755,0.68966,0.71016,0.35048,1.88948,2.15141,1.80417,0.0016634,0.0016634,0.0016634
19,1064.98,1.40066,1.30654,1.31276,0.88393,0.72414,0.764,0.39547,1.86598,2.03713,1.82589,0.0016436,0.0016436,0.0016436
20,1107.36,1.31945,1.26921,1.28592,0.87251,0.62069,0.7018,0.41773,1.71162,2.11293,1.74169,0.0016238,0.0016238,0.0016238
21,1159.07,1.33803,1.22074,1.3193,1,0.65488,0.7722,0.43643,1.66418,1.86708,1.65847,0.001604,0.001604,0.001604
22,1202.24,1.29232,1.18959,1.29014,0.9166,0.86207,0.8924,0.49827,1.61444,1.52637,1.64544,0.0015842,0.0015842,0.0015842
23,1247.96,1.35756,1.22455,1.36042,0.60038,0.75862,0.77997,0.4073,1.67907,1.69629,1.6869,0.0015644,0.0015644,0.0015644
24,1292,1.30202,1.17678,1.25901,0.99077,0.82759,0.8772,0.50253,1.59225,1.5037,1.5052,0.0015446,0.0015446,0.0015446
25,1332.07,1.31755,1.13453,1.27703,0.89112,0.68966,0.85936,0.43009,1.66126,1.62285,1.56213,0.0015248,0.0015248,0.0015248
26,1371.76,1.32631,1.11022,1.2893,0.7997,0.82611,0.89339,0.48682,1.58815,1.64444,1.5272,0.001505,0.001505,0.001505
27,1419.09,1.31806,1.04946,1.28295,0.77458,0.93103,0.91997,0.49323,1.58671,1.67037,1.61874,0.0014852,0.0014852,0.0014852
28,1481.06,1.21952,1.04093,1.2453,0.83475,0.89655,0.93437,0.5375,1.4715,1.36484,1.52807,0.0014654,0.0014654,0.0014654
29,1520.53,1.23803,1.02864,1.2578,0.93669,0.89655,0.97297,0.56999,1.48893,1.24282,1.53332,0.0014456,0.0014456,0.0014456
30,1563.81,1.22599,0.97052,1.23054,0.94475,0.86207,0.96957,0.58613,1.43707,1.18024,1.52831,0.0014258,0.0014258,0.0014258
31,1611.44,1.23386,0.97806,1.22992,0.74112,0.82759,0.9032,0.55006,1.51107,1.2328,1.54279,0.001406,0.001406,0.001406
32,1686.08,1.28602,1.03643,1.28005,0.85499,0.81355,0.89961,0.53976,1.54299,1.19227,1.59809,0.0013862,0.0013862,0.0013862
33,1759.59,1.1899,0.97296,1.21433,0.97937,0.82759,0.9091,0.54671,1.49121,1.21326,1.54092,0.0013664,0.0013664,0.0013664
34,1827.5,1.21809,0.96396,1.14849,1,0.96174,0.98789,0.59439,1.47452,1.0299,1.49975,0.0013466,0.0013466,0.0013466
35,1913.6,1.13812,0.87493,1.17568,0.99321,0.86207,0.98128,0.55218,1.54854,1.00057,1.53389,0.0013268,0.0013268,0.0013268
36,1977.27,1.23177,0.9307,1.24546,0.99042,0.86207,0.92936,0.54077,1.49749,1.06318,1.53596,0.001307,0.001307,0.001307
37,2034.07,1.18047,0.90682,1.23186,0.92303,0.82708,0.89406,0.52817,1.51114,1.20171,1.52506,0.0012872,0.0012872,0.0012872
38,2103.25,1.08764,0.93122,1.16854,0.8157,0.76323,0.82874,0.47028,1.53729,1.27162,1.54556,0.0012674,0.0012674,0.0012674
39,2176.71,1.10421,0.91524,1.14885,0.70706,0.7931,0.7979,0.47226,1.53421,1.54098,1.51531,0.0012476,0.0012476,0.0012476
40,2236.55,1.1106,0.88854,1.14723,0.91958,0.78879,0.85572,0.50414,1.54078,1.28008,1.52129,0.0012278,0.0012278,0.0012278
41,2291.15,1.08349,0.85695,1.11991,0.85663,0.82425,0.86974,0.48799,1.57756,1.21318,1.5757,0.001208,0.001208,0.001208
42,2350.32,1.15714,0.85707,1.13942,0.91604,0.75267,0.91709,0.54109,1.50379,1.25974,1.52263,0.0011882,0.0011882,0.0011882
43,2417.18,1.11064,0.89251,1.18511,0.98941,0.82759,0.91373,0.54097,1.4656,1.23423,1.49273,0.0011684,0.0011684,0.0011684
44,2489.72,1.12235,0.84685,1.19897,0.96148,0.86075,0.92551,0.58087,1.36844,1.16824,1.47239,0.0011486,0.0011486,0.0011486
45,2561.15,1.09884,0.80484,1.15574,1,0.79115,0.9061,0.54858,1.39767,1.1594,1.48608,0.0011288,0.0011288,0.0011288
46,2633.27,1.077,0.81564,1.15448,0.94833,0.7931,0.89713,0.53264,1.49214,1.09722,1.51824,0.001109,0.001109,0.001109
47,2697.24,1.089,0.81007,1.15029,0.95165,0.82759,0.92065,0.53984,1.48933,1.05167,1.50409,0.0010892,0.0010892,0.0010892
48,2767.67,1.0834,0.77491,1.11319,0.91667,0.93103,0.94983,0.54296,1.53441,0.96288,1.56604,0.0010694,0.0010694,0.0010694
49,2836.64,1.11288,0.78984,1.15531,0.98266,0.96552,0.98851,0.5627,1.489,0.90836,1.5025,0.0010496,0.0010496,0.0010496
50,2876.98,1.0428,0.78339,1.11818,0.95774,0.96552,0.98572,0.60903,1.4374,0.87182,1.45254,0.0010298,0.0010298,0.0010298
51,2918.09,1.02658,0.775,1.12696,0.96248,0.96552,0.98132,0.60416,1.40913,0.83348,1.42026,0.00101,0.00101,0.00101
52,2953,1.02279,0.75109,1.14842,0.96386,0.93103,0.98323,0.60718,1.4287,0.8117,1.50892,0.0009902,0.0009902,0.0009902
53,2980.07,1.02156,0.70722,1.14412,0.95799,0.93103,0.95966,0.58137,1.39577,0.8532,1.45315,0.0009704,0.0009704,0.0009704
54,3007.2,1.00042,0.7298,1.09522,0.88898,0.89655,0.91799,0.54913,1.4363,0.93698,1.46023,0.0009506,0.0009506,0.0009506
55,3035.89,1.0381,0.776,1.13502,0.89547,0.86207,0.91619,0.53298,1.49294,1.06347,1.50016,0.0009308,0.0009308,0.0009308
